grcsp,9,5,0.0205765905,-0.1319334229,0.0337654946,0.0332113514
mas,9,7,0.0555117271,-0.1831661839,0.0744144583,0.0505245756
grsn,11,6,0.1534376924,-0.2870273955,0.0725883418,0.037671153
apcsp,9,9,-0.0895146213,0.1000261541,-0.0769366286,0.1082323999
apcsf,9,3.8,-0.0168235461,-0.0354275252,-0.0109310973,0.0404089474
apcsp,10,3,-0.1723221562,0.0701279774,-0.0350789152,0.0281220853
gwssf,9,4.7,0.040511361,-0.0956056591,-0.0048340655,0.0489263293
gwssf,8,6,0.0366923134,-0.1298236016,0.01656183,0.0701029926
gwsdd,9,5,-0.001049612,-0.0566916539,-0.0105071758,0.0419312534
apcsp,8,5,0.0494806414,-0.1655002211,0.0569944849,0.0457489049
grcp,11,6,0.0020608118,-0.1038582781,0.0258429462,0.0314273838
mae,11,7,0.0187564396,-0.1149351184,0.0517393681,0.0607232891
mae,9,6,0.0132438733,-0.0987423792,0.0422647869,0.0633947452
grcsp,10,8,-0.0001691704,-0.1285311521,0.0794838802,0.0699624647
apccf,7.8,6,0.0167222112,-0.1539440898,0.0830677113,0.0549763546
grcp,9,4,-0.0247493399,-0.0474580773,-0.000926213,0.0278459834
apcsp,11,7,0.0736506651,-0.2381172055,0.1104548722,0.0448878809
gwssf,8,4.3,-0.0133009072,-0.0246083737,-0.0314123765,0.0474436761
gwsdd,11,7,0.1303639667,-0.2530548565,0.0697953817,0.0360432059
mas,11,8,0.0587818354,-0.2141074529,0.1003222747,0.0446622433
apcsp,9,6,0.0698505858,-0.2321044726,0.1050420786,0.0457746725
apcsf,9,6,-0.020423485,-0.0577700351,-0.0009162738,0.0826510469
apce,17,12,0.0262732519,-0.191621911,0.1152367015,0.0314754846
magf,11,5,-0.1407850431,0.0103630985,-8.62040576538232E-05,0.0301433327
apcsp,14,13,-0.0417090771,-0.0750832817,0.0798470929,0.0600693538
apcsp,11,3,-0.064167726,-0.0212454944,-0.0073719261,0.0250742158
magf,9,7,-0.0296301983,-0.1083064215,0.0730450565,0.0506315463
ma,9,6,-0.0633594477,-0.0799720921,0.0553936085,0.0421019337
apcsf,10,4.7,-0.0210116487,-0.0467895613,-0.007441815,0.0512145695
grsn,11,10,0.0269989486,-0.2074508434,0.1240092146,0.0641091536
apcsf,11,7,-0.0461919465,-0.0285948054,-0.0118101999,0.0792032575
apce,8,6,0.0314949922,-0.1648947451,0.0796469106,0.0622455324
grsn,10,7,0.0967271046,-0.2945049087,0.1309726475,0.0475252881
magf,7,4,0.1157488559,-0.2408249313,0.0764642586,0.0338404844
apcsp,7,6,-0.0016692828,-0.0892284676,0.0415671664,0.0645818197
apcsp,8,10,-0.0707714859,0.116990073,-0.1170988501,0.1656544325
apcsp,8,9,-0.1124962725,0.1530550111,-0.091205957,0.1282149686
ma,11,4,-0.1670041978,0.0265120888,-0.0174581435,0.0244675457
apce,11,8,0.0281423662,-0.1760981171,0.0880250346,0.0417409995
apcsp,9,10,-0.0876080093,0.0621607811,-0.0097075828,0.0901878376
grcsp,10,6,0.1029661784,-0.2640923102,0.1077292081,0.0471923995
mas,9,6,-0.0081702545,-0.0895278425,0.0308268162,0.0462230622
apcsp,10,6,0.0504255759,-0.2176305868,0.1026039121,0.0408913941
gwssf,11,4.7,0.0172595978,-0.0550675438,-0.0266216818,0.0510590049
grcsp,9,6,0.0395290239,-0.186187398,0.087232751,0.066375791
rusp,11,4,-0.0797266772,0.0115917042,-0.0246078795,0.0316491233
apce,9,9,-0.0560749642,-0.0098558236,0.0116069346,0.0959864558
gwssf,9,7,0.0188259606,-0.1083074933,-0.0003770703,0.0813345378
zin,9,6,-0.0091356669,-0.0701592818,0.0137092164,0.0512669682
apce,11,10,-0.1027191318,0.0676745399,-0.0308133673,0.0795860415
ma,11,8,-0.0861282164,-0.0456056661,0.0510153195,0.0440156454
apcsp,11,4,-0.0400956073,-0.0359629446,-0.0071965625,0.0333883359
grsn,9,5,0.0788015306,-0.2330814412,0.0728313128,0.0417003994
magf,8,4,0.062063016,-0.1912006343,0.057744324,0.033507856
apce,10,5,0.1495237979,-0.2772514551,0.0823945266,0.0328836753
apcsp,8,4,0.0758358722,-0.1814866443,0.0477126942,0.0358320718
kyosho,10,7,-0.1248447154,0.0340495359,0.0223148263,0.0535436922
apce,11,7,0.1427820378,-0.3209491211,0.1323436472,0.0331288974
apcsf,8,3.8,-0.0130595089,-0.0440496015,-0.0054583819,0.046081888
magf,10,8,-0.0099955295,-0.1438446763,0.0921427971,0.0495189719
apcsf,9,4.7,0.0042282327,-0.0830782528,0.010453046,0.0460208621
grcp,11,8,-0.0419771632,-0.0596030813,0.0377583656,0.0514783802
apcsp,9,7,0.0081246748,-0.1654165375,0.0986952703,0.0478102739
mas,10,5,0.0650465628,-0.1578555592,0.0484350151,0.0429989213
kyosho,11,9,-0.0647867612,-0.0274186603,0.0504271472,0.0554658751
