zin,11,7,-0.0931886447,-0.0658584354,0.082791413,Grey,lo
ma,11,7,-0.1725870123,-0.0352492899,0.097080859,Grass,lo
gwsdd,11,7,-0.1354312003,-0.0816056839,0.1068513068,Red,lo
grsn,9,7,-0.1374342803,-0.0302445298,0.1481017677,Purple,hi
apcsf,11,7,-0.1284720893,-0.0797900188,0.1567677541,Brown,hi
gwssf,9,7,-0.1318428605,-0.0949658507,0.1572034912,Green,hi
apccf,7.8,7,-0.1336894477,0.0318171861,0.1040463141,Blue,hi
